nome_pane,fase,macchina,tempo_min_per_batch,costo_orario_macchina
Pane casereccio,Impasto,Impastatrice1,20,30
Pane casereccio,Lievitazione,Cella1,40,10
Pane casereccio,Cottura,Forno1,15,50
Pane casereccio,Confezione,Confezionatrice1,25,25
Pane di Altamura,Impasto,Impastatrice1,22,30
Pane di Altamura,Lievitazione,Cella1,42,10
Pane di Altamura,Cottura,Forno1,16,50
Pane di Altamura,Confezione,Confezionatrice1,26,25
Pane toscano sciapo,Impasto,Impastatrice1,25,30
Pane toscano sciapo,Lievitazione,Cella1,45,10
Pane toscano sciapo,Cottura,Forno1,18,50
Pane toscano sciapo,Confezione,Confezionatrice1,27,25
Pagnotta rustica,Impasto,Impastatrice1,18,30
Pagnotta rustica,Lievitazione,Cella1,38,10
Pagnotta rustica,Cottura,Forno1,14,50
Pagnotta rustica,Confezione,Confezionatrice1,24,25
Filone bianco,Impasto,Impastatrice1,21,30
Filone bianco,Lievitazione,Cella1,41,10
Filone bianco,Cottura,Forno1,16,50
Filone bianco,Confezione,Confezionatrice1,26,25
Filone integrale,Impasto,Impastatrice1,23,30
Filone integrale,Lievitazione,Cella1,43,10
Filone integrale,Cottura,Forno1,17,50
Filone integrale,Confezione,Confezionatrice1,27,25
Ciabatta classica,Impasto,Impastatrice1,26,30
Ciabatta classica,Lievitazione,Cella1,46,10
Ciabatta classica,Cottura,Forno1,19,50
Ciabatta classica,Confezione,Confezionatrice1,28,25
Ciabatta ai cereali,Impasto,Impastatrice1,19,30
Ciabatta ai cereali,Lievitazione,Cella1,39,10
Ciabatta ai cereali,Cottura,Forno1,15,50
Ciabatta ai cereali,Confezione,Confezionatrice1,24,25
Pane pugliese,Impasto,Impastatrice1,20,30
Pane pugliese,Lievitazione,Cella1,40,10
Pane pugliese,Cottura,Forno1,16,50
Pane pugliese,Confezione,Confezionatrice1,25,25
Pane cafone napoletano,Impasto,Impastatrice1,22,30
Pane cafone napoletano,Lievitazione,Cella1,42,10
Pane cafone napoletano,Cottura,Forno1,17,50
Pane cafone napoletano,Confezione,Confezionatrice1,26,25
Pane di segale,Impasto,Impastatrice1,20,30
Pane di segale,Lievitazione,Cella1,40,10
Pane di segale,Cottura,Forno1,15,50
Pane di segale,Confezione,Confezionatrice1,25,25
Pane ai 5 cereali,Impasto,Impastatrice1,22,30
Pane ai 5 cereali,Lievitazione,Cella1,42,10
Pane ai 5 cereali,Cottura,Forno1,16,50
Pane ai 5 cereali,Confezione,Confezionatrice1,26,25
Pane al mais,Impasto,Impastatrice1,25,30
Pane al mais,Lievitazione,Cella1,45,10
Pane al mais,Cottura,Forno1,18,50
Pane al mais,Confezione,Confezionatrice1,27,25
Pane al farro,Impasto,Impastatrice1,18,30
Pane al farro,Lievitazione,Cella1,38,10
Pane al farro,Cottura,Forno1,14,50
Pane al farro,Confezione,Confezionatrice1,24,25
Pane al kamut,Impasto,Impastatrice1,21,30
Pane al kamut,Lievitazione,Cella1,41,10
Pane al kamut,Cottura,Forno1,16,50
Pane al kamut,Confezione,Confezionatrice1,26,25
Rosetta soffice,Impasto,Impastatrice1,23,30
Rosetta soffice,Lievitazione,Cella1,43,10
Rosetta soffice,Cottura,Forno1,17,50
Rosetta soffice,Confezione,Confezionatrice1,27,25
Micchetta milanese,Impasto,Impastatrice1,26,30
Micchetta milanese,Lievitazione,Cella1,46,10
Micchetta milanese,Cottura,Forno1,19,50
Micchetta milanese,Confezione,Confezionatrice1,28,25
Baguette italiana,Impasto,Impastatrice1,19,30
Baguette italiana,Lievitazione,Cella1,39,10
Baguette italiana,Cottura,Forno1,15,50
Baguette italiana,Confezione,Confezionatrice1,24,25
Pane tipo ciabattina,Impasto,Impastatrice1,20,30
Pane tipo ciabattina,Lievitazione,Cella1,40,10
Pane tipo ciabattina,Cottura,Forno1,16,50
Pane tipo ciabattina,Confezione,Confezionatrice1,25,25
Pane al latte,Impasto,Impastatrice1,22,30
Pane al latte,Lievitazione,Cella1,42,10
Pane al latte,Cottura,Forno1,17,50
Pane al latte,Confezione,Confezionatrice1,26,25
Focaccia genovese,Impasto,Impastatrice1,20,30
Focaccia genovese,Lievitazione,Cella1,40,10
Focaccia genovese,Cottura,Forno1,15,50
Focaccia genovese,Confezione,Confezionatrice1,25,25
Focaccia al rosmarino,Impasto,Impastatrice1,22,30
Focaccia al rosmarino,Lievitazione,Cella1,42,10
Focaccia al rosmarino,Cottura,Forno1,16,50
Focaccia al rosmarino,Confezione,Confezionatrice1,26,25
Focaccia farcita,Impasto,Impastatrice1,25,30
Focaccia farcita,Lievitazione,Cella1,45,10
Focaccia farcita,Cottura,Forno1,18,50
Focaccia farcita,Confezione,Confezionatrice1,27,25
Schiacciata toscana,Impasto,Impastatrice1,18,30
Schiacciata toscana,Lievitazione,Cella1,38,10
Schiacciata toscana,Cottura,Forno1,14,50
Schiacciata toscana,Confezione,Confezionatrice1,24,25
Pane carasau,Impasto,Impastatrice1,21,30
Pane carasau,Lievitazione,Cella1,41,10
Pane carasau,Cottura,Forno1,16,50
Pane carasau,Confezione,Confezionatrice1,26,25
Pane guttiau,Impasto,Impastatrice1,23,30
Pane guttiau,Lievitazione,Cella1,43,10
Pane guttiau,Cottura,Forno1,17,50
Pane guttiau,Confezione,Confezionatrice1,27,25
Coppia ferrarese,Impasto,Impastatrice1,26,30
Coppia ferrarese,Lievitazione,Cella1,46,10
Coppia ferrarese,Cottura,Forno1,19,50
Coppia ferrarese,Confezione,Confezionatrice1,28,25
Pane mantovano,Impasto,Impastatrice1,19,30
Pane mantovano,Lievitazione,Cella1,39,10
Pane mantovano,Cottura,Forno1,15,50
Pane mantovano,Confezione,Confezionatrice1,24,25
Pane alla biga,Impasto,Impastatrice1,20,30
Pane alla biga,Lievitazione,Cella1,40,10
Pane alla biga,Cottura,Forno1,16,50
Pane alla biga,Confezione,Confezionatrice1,25,25
Pane tipo ciabatta rustica,Impasto,Impastatrice1,22,30
Pane tipo ciabatta rustica,Lievitazione,Cella1,42,10
Pane tipo ciabatta rustica,Cottura,Forno1,17,50
Pane tipo ciabatta rustica,Confezione,Confezionatrice1,26,25
Pane per tramezzini classico,Impasto,Impastatrice1,20,30
Pane per tramezzini classico,Lievitazione,Cella1,40,10
Pane per tramezzini classico,Cottura,Forno1,15,50
Pane per tramezzini classico,Confezione,Confezionatrice1,25,25
Pane per tramezzini integrale,Impasto,Impastatrice1,22,30
Pane per tramezzini integrale,Lievitazione,Cella1,42,10
Pane per tramezzini integrale,Cottura,Forno1,16,50
Pane per tramezzini integrale,Confezione,Confezionatrice1,26,25
Pane per tramezzini ai cereali,Impasto,Impastatrice1,25,30
Pane per tramezzini ai cereali,Lievitazione,Cella1,45,10
Pane per tramezzini ai cereali,Cottura,Forno1,18,50
Pane per tramezzini ai cereali,Confezione,Confezionatrice1,27,25
Pane in cassetta bianco,Impasto,Impastatrice1,18,30
Pane in cassetta bianco,Lievitazione,Cella1,38,10
Pane in cassetta bianco,Cottura,Forno1,14,50
Pane in cassetta bianco,Confezione,Confezionatrice1,24,25
Pane in cassetta integrale,Impasto,Impastatrice1,21,30
Pane in cassetta integrale,Lievitazione,Cella1,41,10
Pane in cassetta integrale,Cottura,Forno1,16,50
Pane in cassetta integrale,Confezione,Confezionatrice1,26,25
Pane in cassetta ai semi,Impasto,Impastatrice1,23,30
Pane in cassetta ai semi,Lievitazione,Cella1,43,10
Pane in cassetta ai semi,Cottura,Forno1,17,50
Pane in cassetta ai semi,Confezione,Confezionatrice1,27,25
Pane morbido per toast,Impasto,Impastatrice1,26,30
Pane morbido per toast,Lievitazione,Cella1,46,10
Pane morbido per toast,Cottura,Forno1,19,50
Pane morbido per toast,Confezione,Confezionatrice1,28,25
Pane americano a fette,Impasto,Impastatrice1,19,30
Pane americano a fette,Lievitazione,Cella1,39,10
Pane americano a fette,Cottura,Forno1,15,50
Pane americano a fette,Confezione,Confezionatrice1,24,25
Pane sandwich al latte,Impasto,Impastatrice1,20,30
Pane sandwich al latte,Lievitazione,Cella1,40,10
Pane sandwich al latte,Cottura,Forno1,16,50
Pane sandwich al latte,Confezione,Confezionatrice1,25,25
Pane sandwich maxi fette,Impasto,Impastatrice1,22,30
Pane sandwich maxi fette,Lievitazione,Cella1,42,10
Pane sandwich maxi fette,Cottura,Forno1,17,50
Pane sandwich maxi fette,Confezione,Confezionatrice1,26,25
Pan brioche salato,Impasto,Impastatrice1,20,30
Pan brioche salato,Lievitazione,Cella1,40,10
Pan brioche salato,Cottura,Forno1,15,50
Pan brioche salato,Confezione,Confezionatrice1,25,25
Pan bauletto classico,Impasto,Impastatrice1,22,30
Pan bauletto classico,Lievitazione,Cella1,42,10
Pan bauletto classico,Cottura,Forno1,16,50
Pan bauletto classico,Confezione,Confezionatrice1,26,25
Pan bauletto integrale,Impasto,Impastatrice1,25,30
Pan bauletto integrale,Lievitazione,Cella1,45,10
Pan bauletto integrale,Cottura,Forno1,18,50
Pan bauletto integrale,Confezione,Confezionatrice1,27,25
Pan bauletto ai cereali,Impasto,Impastatrice1,18,30
Pan bauletto ai cereali,Lievitazione,Cella1,38,10
Pan bauletto ai cereali,Cottura,Forno1,14,50
Pan bauletto ai cereali,Confezione,Confezionatrice1,24,25
Pane per club sandwich,Impasto,Impastatrice1,21,30
Pane per club sandwich,Lievitazione,Cella1,41,10
Pane per club sandwich,Cottura,Forno1,16,50
Pane per club sandwich,Confezione,Confezionatrice1,26,25
